algo,cumulative_return,annualized_return,sharpe,sortino,max_drawdown,cvar95,timesteps,timestamp,window,n_assets
ppo,0.085383432,0.087612587,0.461258147,0.540627716,-0.552920553,0.017796515,200000,2025-11-17T09:51:06.331050,72,3
qrl,1.198314893,0.662711891,1.216074238,1.507783135,-0.428735333,0.014257551,200000,2025-11-17T09:51:06.331050,72,3
