cumulative_return,annualized_return,sharpe,sortino,max_drawdown,cvar95,timesteps,timestamp,algo,window,n_assets
0.09625512608697173,0.0987808016472369,0.4397173763662182,0.5828042624511849,-0.32605011847767223,0.009465700423923968,20000,2025-11-17T09:26:45.743039,ppo,72,3
-0.09246098144874826,-0.09466311819242967,0.058429986862729925,0.07854092816218991,-0.4693200130779493,0.01283019222224511,40000,2025-11-17T09:29:05.982210,ppo,72,3
0.04098379002019015,0.04203133870865483,0.3574821787857889,0.44260922092977995,-0.5082112927817101,0.015240972632208019,60000,2025-11-17T09:31:46.726366,ppo,72,3
0.12759763395019585,0.13099359584933778,0.49740402743301443,0.5855773457020965,-0.3685811495141252,0.012421850981118632,80000,2025-11-17T09:34:26.447238,ppo,72,3
-0.06513207451719338,-0.06670740863043667,0.16911363473845603,0.19830080788618984,-0.5114573605582906,0.015389413567213368,100000,2025-11-17T09:36:52.850114,ppo,72,3
-0.018284465155308127,-0.0187380092076066,0.29274706410938256,0.343213341057598,-0.5475016464140152,0.017291768886285915,120000,2025-11-17T09:39:37.653623,ppo,72,3
0.16151480964773657,0.16587780170057842,0.557892099644546,0.6647728642779319,-0.4693582151315924,0.016168588879451065,140000,2025-11-17T09:42:15.428191,ppo,72,3
0.4056987724110923,0.4177368544498745,0.8593760227736778,1.0432578123143397,-0.4830702274963557,0.017311762785079593,160000,2025-11-17T09:45:07.910038,ppo,72,3
0.08775496382757009,0.09004856315429266,0.4448519126054718,0.5173368033170762,-0.48080417266480974,0.016046647017954305,180000,2025-11-17T09:47:56.013677,ppo,72,3
0.09752550112325231,0.10008600714063531,0.4781210867435743,0.5609292605899638,-0.549918318842644,0.01775383445672061,200000,2025-11-17T09:50:41.670020,ppo,72,3
